Kernel trace events
Device, Binary, Kernel, Compute Unit, Function, Data Type, Index, Start Time (ms), End Time (ms), Value
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,top,top,0,0.273513,0.275830,0
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,entry_proc_U0,outstanding,0,0.000000,0.273513,0
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,entry_proc_U0,outstanding,0,0.273513,0.273516,1
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,entry_proc_U0,outstanding,0,0.273516,0.273516,0
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,entry_proc_U0,row,0,0.000000,0.273513,65535
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,entry_proc_U0,row,0,0.273513,0.273516,0
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,entry_proc_U0,row,0,0.273516,0.273516,65535
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,read_input_U0,outstanding,0,0.000000,0.273513,0
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,read_input_U0,outstanding,0,0.273513,0.274617,1
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,read_input_U0,outstanding,0,0.274617,0.274617,0
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,read_input_U0,row,0,0.000000,0.273513,65535
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,read_input_U0,row,0,0.273513,0.274617,0
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,read_input_U0,row,0,0.274617,0.274617,65535
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,read_input_U0/grp_read_input_Pipeline_mem_rd_fu_82,outstanding,0,0.000000,0.273756,0
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,read_input_U0/grp_read_input_Pipeline_mem_rd_fu_82,outstanding,0,0.273756,0.274617,1
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,read_input_U0/grp_read_input_Pipeline_mem_rd_fu_82,outstanding,0,0.274617,0.274617,0
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,read_input_U0/grp_read_input_Pipeline_mem_rd_fu_82,row,0,0.000000,0.273756,65535
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,read_input_U0/grp_read_input_Pipeline_mem_rd_fu_82,row,0,0.273756,0.274617,0
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,read_input_U0/grp_read_input_Pipeline_mem_rd_fu_82,row,0,0.274617,0.274617,65535
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,read_input_1_U0,outstanding,0,0.000000,0.273513,0
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,read_input_1_U0,outstanding,0,0.273513,0.274617,1
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,read_input_1_U0,outstanding,0,0.274617,0.274617,0
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,read_input_1_U0,row,0,0.000000,0.273513,65535
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,read_input_1_U0,row,0,0.273513,0.274617,0
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,read_input_1_U0,row,0,0.274617,0.274617,65535
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,compute_mm_U0,outstanding,0,0.000000,0.273516,0
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,compute_mm_U0,outstanding,0,0.273516,0.275597,1
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,compute_mm_U0,outstanding,0,0.275597,0.275597,0
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,compute_mm_U0,row,0,0.000000,0.273516,65535
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,compute_mm_U0,row,0,0.273516,0.275597,0
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,compute_mm_U0,row,0,0.275597,0.275597,65535
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,compute_mm_U0/grp_compute_mm_Pipeline_VITIS_LOOP_25_1_VITIS_LOOP_26_2_fu_32,outstanding,0,0.000000,0.273520,0
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,compute_mm_U0/grp_compute_mm_Pipeline_VITIS_LOOP_25_1_VITIS_LOOP_26_2_fu_32,outstanding,0,0.273520,0.274620,1
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,compute_mm_U0/grp_compute_mm_Pipeline_VITIS_LOOP_25_1_VITIS_LOOP_26_2_fu_32,outstanding,0,0.274620,0.274620,0
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,compute_mm_U0/grp_compute_mm_Pipeline_VITIS_LOOP_25_1_VITIS_LOOP_26_2_fu_32,row,0,0.000000,0.273520,65535
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,compute_mm_U0/grp_compute_mm_Pipeline_VITIS_LOOP_25_1_VITIS_LOOP_26_2_fu_32,row,0,0.273520,0.274620,0
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,compute_mm_U0/grp_compute_mm_Pipeline_VITIS_LOOP_25_1_VITIS_LOOP_26_2_fu_32,row,0,0.274620,0.274620,65535
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,compute_mm_U0/grp_compute_mm_Pipeline_VITIS_LOOP_32_3_VITIS_LOOP_33_4_fu_44,outstanding,0,0.000000,0.274627,0
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,compute_mm_U0/grp_compute_mm_Pipeline_VITIS_LOOP_32_3_VITIS_LOOP_33_4_fu_44,outstanding,0,0.274627,0.275597,1
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,compute_mm_U0/grp_compute_mm_Pipeline_VITIS_LOOP_32_3_VITIS_LOOP_33_4_fu_44,outstanding,0,0.275597,0.275597,0
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,compute_mm_U0/grp_compute_mm_Pipeline_VITIS_LOOP_32_3_VITIS_LOOP_33_4_fu_44,row,0,0.000000,0.274627,65535
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,compute_mm_U0/grp_compute_mm_Pipeline_VITIS_LOOP_32_3_VITIS_LOOP_33_4_fu_44,row,0,0.274627,0.275597,0
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,compute_mm_U0/grp_compute_mm_Pipeline_VITIS_LOOP_32_3_VITIS_LOOP_33_4_fu_44,row,0,0.275597,0.275597,65535
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,write_result_U0,outstanding,0,0.000000,0.273516,0
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,write_result_U0,outstanding,0,0.273516,0.275830,1
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,write_result_U0,outstanding,0,0.275830,0.275830,0
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,write_result_U0,row,0,0.000000,0.273516,65535
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,write_result_U0,row,0,0.273516,0.275830,0
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,write_result_U0,row,0,0.275830,0.275830,65535
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,write_result_U0/grp_write_result_Pipeline_mem_wr_fu_73,outstanding,0,0.000000,0.273526,0
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,write_result_U0/grp_write_result_Pipeline_mem_wr_fu_73,outstanding,0,0.273526,0.275603,1
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,write_result_U0/grp_write_result_Pipeline_mem_wr_fu_73,outstanding,0,0.275603,0.275603,0
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,write_result_U0/grp_write_result_Pipeline_mem_wr_fu_73,row,0,0.000000,0.273526,65535
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,write_result_U0/grp_write_result_Pipeline_mem_wr_fu_73,row,0,0.273526,0.275603,0
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,write_result_U0/grp_write_result_Pipeline_mem_wr_fu_73,row,0,0.275603,0.275603,65535
